"","I","II","III","IV","V"
"SRL
Ministry / Department","Item
Activities of the Government","Maximum","Minimum","Maximum","Maximum"
"No.","No.","Limits of","Limits of","Limits of","Limits of"
"","","Expenditure","Receipts to be","Debit Balances","Liabilities"
"","","of Activities","Credited to the","of Activities","of Activities"
"","","of the","Accounts of","of the","of the"
"","","Government","Activities of","Government","Government"
"","","","the Government","",""
"","","Rs.","Rs.","Rs.","Rs."
"137 District  Secretariat,  Kalutara","25701 Advances  to  Public  Officers","58,875,000","35,000,000","270,000,000","—"
"138 District  Secretariat,  Kandy","25801 Advances  to  Public  Officers","54,950,000","37,000,000","250,000,000","—"
"139 District  Secretariat,  Matale","25901 Advances  to  Public  Officers","31,400,000","23,000,000","150,000,000","—"
"140 District  Secretariat,","26001 Advances  to  Public  Officers","35,325,000","16,000,000","115,000,000","—"
"Nuwara-Eliya","","","","",""
"141 District  Secretariat,  Galle","26101 Advances  to  Public  Officers","47,100,000","44,000,000","205,000,000","—"
"142 District  Secretariat,  Matara","26201 Advances  to  Public  Officers","39,250,000","35,000,000","180,000,000","—"
"143 District  Secretariat,","26301 Advances  to  Public  Officers","35,325,000","23,000,000","147,000,000","—"
"Hambantota","","","","",""
"144 District  Secretariat/Kachcheri,","26401 Advances  to  Public  Officers","39,250,000","23,000,000","110,000,000","—"
"Jaffna","","","","",""
"145 District  Secretariat/Kachcheri,","26501 Advances  to  Public  Officers","11,775,000","6,000,000","50,000,000","—"
"Mannar","","","","",""
"146 District  Secretariat/Kachcheri,","26601 Advances  to  Public  Officers","10,600,000","7,500,000","42,000,000","—"
"Vavuniya","","","","",""
"147 District  Secretariat/Kachcheri,","26701 Advances  to  Public  Officers","10,676,000","2,800,000","38,000,000","—"
"Mullaitivu","","","","",""
"148 District  Secretariat/Kachcheri,","26801 Advances  to  Public  Officers","10,990,000","3,000,000","44,000,000","—"
"Killinochchi","","","","",""
"149 District  Secretariat/  Kachcheri,","26901 Advances  to  Public  Officers","34,540,000","19,000,000","67,000,000","—"
"Batticaloa","","","","",""
"150 District  Secretariat,  Ampara","27001 Advances  to  Public  Officers","47,100,000","35,000,000","188,000,000","—"
