"","I","II","III","IV","V"
"SRL
Ministry / Department","Item
Activities of the Government","Maximum","Minimum","Maximum","Maximum"
"No.","No.","Limits of","Limits of","Limits of","Limits of"
"","","Expenditure","Receipts to be","Debit Balances","Liabilities"
"","","of Activities","Credited to the","of Activities","of Activities"
"","","of the","Accounts of","of the","of the"
"","","Government","Activities of","Government","Government"
"","","","the Government","",""
"","","Rs.","Rs.","Rs.","Rs."
"170 Department  of  Export","28901 Advances  to  Public  Officers","25,120,000","18,000,000","116,000,000","—"
"Agriculture","","","","",""
"171 Department  of  Fisheries  and","29001 Advances  to  Public  Officers","22,000,000","12,000,000","112,000,000","—"
"Aquatic  Resources","","","","",""
"172 Department  of  Coast","29101 Advances  to  Public  Officers","19,625,000","7,000,000","69,000,000","—"
"Conservation","","","","",""
"173 Department  of  Animal","29201 Advances  to  Public  Officers","27,475,000","13,000,000","105,000,000","—"
"Production  and  Health","","","","",""
"174 Department  of  Rubber","29301 Advances  to  Public  Officers","18,055,000","10,000,000","52,000,000","—"
"Development","","","","",""
"175 Department  of  National","29401 Advances  to  Public  Officers","13,345,000","7,500,000","60,000,000","—"
"Zoological  Gardens","","","","",""
"176 Department  of  Commerce","29501 Advances  to  Public  Officers","3,925,000","2,000,000","20,000,000","—"
"177 Department  of    Import  and","29601 Advances  to  Public  Officers","4,500,000","2,000,000","20,000,000","—"
"Export","","","","",""
"178 Department  of  the  Registrar","29701 Advances  to  Public  Officers","3,600,000","2,000,000","30,000,000","—"
"of  Companies","","","","",""
"179 Department  of  Measurement","29801 Advances  to  Public  Officers","9,420,000","3,000,000","36,000,000","—"
"Units,  Standards  and","","","","",""
"Services","","","","",""
"180 National  Intellectual  Property","29901 Advances  to  Public  Officers","3,140,000","1,300,000","15,000,000","—"
"Office  of  Sri  Lanka","","","","",""
