"","Head
Unit/Ministry/Department","Provision  of  the  Constitution","Expenditure","Recurrent","Capital","Total"
"","No.
or  Institution  by  whom","and  Law  under  which","Programme","expenditure","expenditure","expenditure"
"","expenditure  is  incurred","expenditure  is  authorized","","Rs.","Rs.","Rs."
"","1","His  Excellency  the  President Article  36  of  the  Constitution","Programme  01-","4,680,000","—","4,680,000"
"","","","Operational","","",""
"","","","Activities","","",""
"","4
Judges  of  the  Superior","Article  108  of  the  Constitution","Programme  01-","51,000,000","—","51,000,000"
"5","Courts","","Operational","","",""
"","","","Activities","","",""
"","6
Office  of  the  Public  Service","Chapter  IX    of  the  Constitution","Programme  01-","10,260,000","—","10,260,000"
"","Commission","","Operational","","",""
"","","","Activities","","",""
"","7
Judicial  Service  Commission Chapter    XV  A    of  the","","Programme  01-","2,520,000","—","2,520,000"
"10","","","","","",""
"","","Constitution","Operational","","",""
"","","","Activities","","",""
"","8
National  Police  Commission Chapter    XVIII  A    of  the","","Programme  01-","8,100,000","—","8,100,000"
"","","Constitution","Operational","","",""
"","","","Activities","","",""
"15","","","","","",""
