"","Head","Recurrent","Capital"
"","No.","Expenditure","Expenditure"
"","Rs.","","Rs."
"","Head  206
Department  of  Cultural  Affairs","",""
"","Programme  01
Operational  Activities","144,800,000","6,800,000"
"","Programme  02
Development  Activities","596,800,000","907,600,000"
"","Head 208
Department  of  National  Museums","",""
"5","Programme  01
Operational  Activities","52,800,000","5,200,000"
"","Programme  02
Development  Activities","199,700,000                     224,300,000",""
"","Head 209
Department  of  National  Archives","",""
"","Programme  01
Operational  Activities","91,100,000             14,900,000",""
"","Programme  02
Development  Activities","76,400,000","226,600,000"
"10","State  Ministry  of    National  Heritage,  Performing  Arts  and  Rural  Arts  Promotion","",""
"","Recurrent
332,700,000","",""
"","Capital
271,300,000","",""
"","Made  up  as  follows  :-","",""
"","Head 401
State  Minister  of    National  Heritage  Performing  Arts  and  Rural  Arts  Promotion","",""
"15","Programme  01
Operational  Activities","182,100,000             38,800,000",""
"","Programme  02
Development  Activities","150,600,000","232,500,000"
"","Ministry  of  Finance","",""
"","Recurrent
100,338,845,000","",""
"","Capital
57,264,870,000","",""
"20","Made  up  as  follows  :-","",""
"","Head 102
Minister  of  Finance","",""
"","Programme  01
Operational  Activities","1,652,840,000","350,350,000"
"","Programme  02
Development  Activities","-","1,200,000,000"
