"","","","","of the","Accounts  of
of  the","of the"
"","","","","Government","Activities  of the
Government","Government"
"","","","","","Government",""
"","","","","Rs.","Rs.
Rs.","Rs."
"","3 5","Minister  of  Plantation  Industries","13501 Advances  to  Public  Officers","34,300,000","15,500,000 103,700,000","—"
"","3 6","Minister  of  Industries","14901 Advances  to  Public  Officers","90,000,000","36,200,000   210,000,000","—"
"","3 7","Minister  of  Fisheries","15101 Advances  to  Public  Officers","9,500,000","4,800,000
44,000,000","—"
"","3 8","Minister  of  Environment","16001 Advances  to  Public  Officers","20,000,000","8,000,000
60,000,000","—"
"5","3 9","Minister  of  Wildlife  and  Forest","","","",""
"","","Conservation","16101 Advances  to  Public  Officers","7,000,000","3,100,000
  25,000,000","—"
"","4 0","Minister  of  Water  Supply","16601 Advances  to  Public  Officers","7,000,000","4,000,000
33,000,000","—"
"","4 1","Minister  of  Women,  Child  Affairs","","","",""
"","","and  Social  Empowerment","17101 Advances  to  Public  Officers","80,000,000","190,000,000
38,000,000","—"
"10","4 2","Minister  of  Ports,  Shipping  and","","","",""
"","","Aviation","17601 Advances  to  Public  Officers","11,500,000","5,200,000
  43,000,000","—"
"","4 3","Minister  of  Technology","18601 Advances  to  Public  Officers","3,500,000","300,000
  4,000,000","—"
"","4 4","Minister  of  Investment  Promotion","18701 Advances  to  Public  Officers","1,500,000","300,000
  2,000,000","—"
"","4 5","Minister  of  Public  Security","18901 Advances  to  Public  Officers","90,800,000","72,550,000   110,000,000","—"
"15","4 6","Minister  of  Labour  and  Foreign","","","",""
"","","Employment","","19301 Advances  to  Public  Officers        80,000,000   30,000,000    170,000,000","","—"
"","4 7","","Minister  of  Sport  and  Youth  Affairs19401 Advances  to  Public  Officers        56,000,000   19,000,000    145,000,000","","","—"
