"","Description","New","Validity","Pictograph","Present"
"","","classess","other","","Class"
"","","","classes","",""
"1","(i) Motor  Cycles","A","A1,  G1","","D"
"","Motorcycles  of","","","",""
"","which  engine","","","",""
"","capacity  exceeds","","","",""
"","100CC","","","",""
"","(ii)
Light  Motor  Cycles","A1","G1","","D"
"","Motorcycle  of","","","",""
"","which  engine","","","",""
"","capacity  does  not","","","",""
"","exceed  100CC","","","",""
"2","Dual  purpose  Motor","B","G1","","C, C1"
"","vehicle  of  which","","","",""
"","Gross  Vehicle","","","",""
"","Weight  does  not","","","",""
"","exceed  3500","","","",""
"","kilograms  and  the","","","",""
"","seating  capacity","","","",""
"","does  not  exceed  9","","","",""
"","seats  inclusive  of","","","",""
"","the  driver’s  seat,","","","",""
"","which  may  be","","","",""
"","combined  with  a","","","",""
"","trailer  of  which","","","",""
"","maximum","","","",""
"","authorized  tare  does","","","",""
"","not  exceed  750","","","",""
"","kilograms;  motor","","","",""
"","vehicles  in  this  class","","","",""
"","include  an  invalid","","","",""
"","carriage.  And  all","","","",""
"","cars  where  the","","","",""
"","seating  capacity","","","",""
"","does  not  exceed  9","","","",""
"","seats  inclusive  of","","","",""
"","the  Driver’s  seat.","","","",""
"3","Motor  Tricycle  /","B1","G1","","E,F"
"","Motor  Tricycle  van.","","","",""
"","Motor  tricycle  or","","","",""
"","van  of  which  the","","","",""
"","tare  does  not  exceed","","","",""
