"","Description","New","Validity","Pictograph","Present"
"","","classess","other","","Class"
"","","","classes","",""
"5","Heavy  Motor  Lorry","","","",""
"","","CE","C,  C1,","","B"
"","Combination  of","","","",""
"","","","B,B1,","",""
"","motor  lorry  and","","","",""
"","","","G,  G1,  J","",""
"","trailer  (s)  including","","","",""
"","Articulated  Vehicles","","","",""
"","and  its  trailer  (s)  of","","","",""
"","which  maximum","","","",""
"","authorized  tare  of","","","",""
"","the  trailer  exceeds","","","",""
"","750  kilograms  and","","","",""
"","Gross  vehicle","","","",""
"","weight  exceeds","","","",""
"","3500  kilograms","","","",""
"6","(i) Motor  Coach-Motor","","","",""
"","","D","D1,  C,","","A"
"","Coach  where  the","","","",""
"","","","C1,  B,","",""
"","seating  capacity","","","",""
"","","","B1,  G,","",""
"","does  not  exceed  33","","G1,  J","",""
"","seats  inclusive  of  the","","","",""
"","driver’s  seat;  motor","","","",""
"","vehicles  in  this  class","","","",""
"","may  be  combined","","","",""
"","with  a  trailer  having","","","",""
"","a  maximum","","","",""
"","authorized    tare","","","",""
"","which  does  not","","","",""
"","exceed  750","","","",""
"","kilograms.","","","",""
"","(ii)
Light  Motor  Coach-","D1","C1,  B,","","A1"
"","Motor  vehicles  used","","B1,  G,","",""
"","for  the  carriage  of","","","",""
"","","","G1","",""
"","persons  and  having","","","",""
"","a  seating  capacity  of","","","",""
"","not  less  than  9  seats","","","",""
"","and  not  more  than","","","",""
"","33  seats  inclusive  of","","","",""
"","the  driver’s  seat;","","","",""
"","motor  vehicles  in","","","",""
"","this  class  may  be","","","",""
"","combined  with  a","","","",""
"","trailer  having  a","","","",""
