"","Head","","","","Recurrent","Capital","28"
"","No.","","","","Expenditure","Expenditure",""
"","","","","","Rs.","Rs.",""
"","","","Ministry  of  Petroleum  Resources  Development","","","",""
"","","","Recurrent","243,300,000","","",""
"","","","Capital","66,700,000","","",""
"","","Made  up  as  follows:-","","","","",""
"5","Head","150","Minister  of  Petroleum  Resources  Development","","","",""
"","","","Programme  01
Operational  Activities","","153,300,000","13,600,000",""
"","","","Programme  02
Development  Activities","","90,000,000","53,100,000",""
"","","","","Ministry  of  Fisheries  &  Aquatic  Resources  Development  and  Rural  Economic  Affairs","","",""
"","","","Recurrent","3,057,750,000","","","Appropriation"
"10","","","Capital","12,245,800,000","","",""
"","","Made  up  as  follows:-","","","","",""
"","Head","151","","Minister  of  Fisheries  &  Aquatic  Resources  Development  and  Rural  Economic  Affairs","","",""
"","","","Programme  01
Operational  Activities","","604,500,000","386,000,000",""
"","","","Programme  02
Development  Activities","","1,362,850,000","10,997,400,000",""
"15","Head","290","Department  of  Fisheries  and  Aquatic  Resources","","","",""
"","","","Programme  01
Operational  Activities","","516,400,000","138,400,000",""
"","Head","292","Department  of  Animal  Production  and  Health","","","",""
"","","","Programme  01
Operational  Activities","","574,000,000","70,000,000",""
"","","","Programme  02
Development  Activities","","—","654,000,000",""
