"","Head","","","","Recurrent","Capital","36"
"","No.","","","","Expenditure","Expenditure",""
"","","","","","Rs.","Rs.",""
"","","","Ministry  of  Ports  and  Shipping","","","",""
"","","","Recurrent","789,000,000","","",""
"","","","Capital","1,071,000,000","","",""
"","","Made  up  as  follows:-","","","","",""
"5","Head","176","Minister  of  Ports  and  Shipping","","","",""
"","","","Programme  01
Operational  Activities","","241,000,000","16,000,000",""
"","","","Programme  02
Development  Activities","","548,000,000","1,055,000,000",""
"","","","Ministry  of  Labour  &  Trade  Union  Relations","","","","Appropriation"
"","","","Recurrent","2,826,000,000","","",""
"","","","Capital","858,000,000","","",""
"10","","","","","","",""
"","","Made  up  as  follows:-","","","","",""
"","Head","193","Minister  of  Labour  &  Trade  Union  Relations","","","",""
"","","","Programme  01
Operational  Activities","","115,845,000","32,780,000",""
"","","","Programme  02
Development  Activities","","116,155,000","14,220,000",""
"15","Head","221","Department  of  Labour","","","",""
"","","","Programme  01
Operational  Activities","","1,133,250,000","718,610,000",""
"","","","Programme  02
Development  Activities","","1,073,750,000","57,390,000",""
