"","","","","of the","Accounts  of","of  the","of the"
"","","","","Government","Activities  of the","Government","Government"
"","","","","","Government","",""
"","","","","Rs.","Rs.","Rs.","Rs."
"","3 5","Minister  of  Power  and  Renewable","","","","",""
"","","Energy","11901 Advances  to  Public  Officers","7,000,000","2,700,000","23,000,000","—"
"","3 6","Minister  of  Women  and  Child","","","","",""
"","","Affairs","12001 Advances  to  Public  Officers","34,000,000","23,000,000 105,000,000","","—"
"5","3 7","Minister  of  Home  Affairs","","12101 Advances  to  Public  Officers 670,000,000 300,000,000 2,300,000,000","","","—"
"","3 8","Minister  of    Land  and","","","","",""
"","","Parliamentary  Reforms","12201 Advances  to  Public  Officers","30,000,000","11,000,000","95,000,000","—"
"","3 9","Minister  of  Housing  and","","","","",""
"","","Construction","12301 Advances  to  Public  Officers","13,000,000","6,000,000","55,000,000","—"
"10","4 0","Minister  of  Social  Empowerment","12401 Advances  to  Public  Officers","16,000,000","4,000,000","45,000,000","—"
"","4 1","Minister  of  Education","12601 Advances  to  Public  Officers   1,720,000,000","","1,070,000,000","3,700,000,000","—"
"","4 2","Minister  of  Public  Administration","","","","",""
"","","Management  &  Law  and  Order","","13001 Advances  to  Public  Officers 170,000,000 130,000,000 370,000,000","","","—"
"","4 3","Minister  of  Plantation  Industries","13501 Advances  to  Public  Officers","20,000,000","8,000,000","60,000,000","—"
