"Column  I","Column  II"
"Section","EXTENT  OF  AMENDMENT"
"Section  2","by  the  addition  immediately  after  subsection  (4)  of"
"","that  section  of  the  following  new  subsection  :—"
"","“(5)  Nothing  contained  in  this  Act  shall  be  deemed"
"","to  confer  on  the  Minister  the  power  to  declare  any"
"","area  within  the  Coastal  Zone  as  a  “Reclamation  and"
"","Development  Area”  without  the  concurrence  of  the"
"","Minister  to  whom  the  subject  of  Coast  Conservation"
"","and  Coastal  Resource  Management  is  assigned."
"","In  this  subsection  “Coastal  Zone”  shall  have  the"
"","same  meaning  as  is  assigned  to  it  in  the  Coast"
"","Conservation  and  Coastal  Resource  Management  Act,"
"","No.  57  of  1981.”."
"Section  9","by  the  repeal  of  paragraph  (BB)  of  subsection  (1)  of"
"","that  section  and  the  substitution  therefor  of  the"
"","following  paragraph  :—"
