"Column  I","Column  II"
"Section","EXTENT  OF  AMENDMENT"
"Section  20","by  the  repeal  of  the  proviso  to  paragraph  (b)  of"
"","subsection  (1)  of  that  section  and  the  substitution"
"","therefor  of  the  following  proviso :–"
"","“Provided  however  that  no  by-law,  regulation,"
"","order  or  notification  shall  be  made  or  issued  by  the"
"","Board  in  terms  of  the  provisions  of  the  National"
"","Environmental  Act,  No.  47  of  1980,  and  no  power"
"","or  function  shall  be  exercised  or  discharged  by  the"
"","Board  under  the  aforesaid  Act,  except  in  consultation"
"","with  and  after  having  obtained  the  concurrence  of,"
"","the  Central  Environmental  Authority  established"
"","under  the  National  Environmental  Act,  No.  47  of"
"","1980  or  the  Director-General  of  Coast  Conservation"
"","and  Coastal  Resource  Management,  appointed  under"
"","the  Coast  Conservation  and  Coastal  Resource"
"","Management  Act,  No.  57  of  1981.”."
"Section  20A","by  the  repeal  of  the  proviso  to  subsection  (2)  of  that"
"","section  and  the  substitution  therefor  of  the  following"
"","proviso  :—"
"","“Provided  that  no  power,  duty  or  function  under"
"","the  National  Environmental  Act,  No.  47  of  1980  or"
"","the  Coast  Conservation  and  Coastal  Resource"
"","Management  Act,  No.  57  of  1981  shall  be  exercised"
"","or  discharged  by  Board  under  the  aforesaid  Act,"
"","except  in  consultation  with  and  after  having  obtained"
"","the  concurrence  of 
the  Central  Environmental"
"","Authority 
established 
under 
the 
National"
"","Environmental  Act,  No.  47  of  1980  or  the  Director-"
"","General  of  Coast  Conservation  and  Coastal  Resource"
"","Management,  appointed  under  the  Coast  Conservation"
"","and  Coastal  Resource  Management  Act,  No.  57  of"
"","1981.”."
