"","193","rKh;j;jp mgptpUj;jpj;","33201","mur  mYtyh;fSf;fhd","","","","",""
"","","jpizf;fsk;","","Kw;gzk;","325,000,000","275,000,000","215,000,000","—",""
"","194","Njrpa  rKjha  ePh;toq;fy;","33301","mur  mYtyh;fSf;fhd","","","","",""
"","","","","","","","","—",""
"","","jpizf;fsk;","","Kw;gzk;","13,000,000","3,000,000","30,000,000","",""
"5","195","nfhk;Nuhyh;  ehafj;jpd;","","","","","","",""
"","","","","","","","","—",""
"","","mYtyfk;","","","2,000,000","900,000","7,000,000","",""
"","","nkhj;jk;","","","","","","",""
"","","","","","27,373,850,000","21,373,850,000","66,987,500,000","3,143,000,000","61
xJf;fPL"
