"","","","","of the","Accounts  of","of  the","of the"
"","","","","Government","Activities  of the","Government","Government"
"","","","","","Government","",""
"","","","","Rs.","Rs.","Rs.","Rs."
"","8 3","State  Minister  of  Warehouse","","","","",""
"","","Facilities,  Container  Yards,  Ports","","","","",""
"","","Supply  Facilities  and  Boats  and","","","","",""
"","","Shipping  Industry  Development","43401 Advances  to  Public  Officers","4,300,000","1,200,000     10,000,000","","—"
"5","8 4","State  Minister  of  Rural  Roads","","","","",""
"","","and  other  Infrastructure","43501 Advances  to  Public  Officers","4,000,000","1,000,000","75,000,000","—"
"","8 5","State  Minister  of  Vehicle  Regulation,","","","","",""
"","","Bus  Transport  Services  and  Train","","","","",""
"","","Compartments  and  Motor  Car","","","","",""
"10","","Industry","43601 Advances  to  Public  Officers","6,200,000","1,500,000","30,000,000","—"
"","8 6","State  Minister  of    Aviation  and","","","","",""
"","","Export  Zones  Development","43701 Advances  to  Public  Officers","4,400,000","1,200,000     30,000,000","","—"
"","8 7","State  Minister  of  Co  -  operative","","","","",""
"","","Services,  Marketing  Development","","","","",""
"15","","and  Consumer  Protection","43801 Advances  to  Public  Officers","8,600,000","2,500,000     30,000,000","","—"
"","8 8","State  Minister  of  Batik,  Handloom","","","","",""
"","","and  Local  Apparel  Products","43901 Advances  to  Public  Officers","4,800,000","1,200,000       50,000,000","","—"
"","8 9","State  Minister  of  Gem  and  Jewellry","","","","",""
"","","related  Industries","44001 Advances  to  Public  Officers","3,000,000","850,000       40,000,000","","—"
