"","Head","Recurrent","Capital","32"
"","No.","Expenditure","Expenditure",""
"","","Rs.","Rs.",""
"","Head
204
Department  of  Hindu  Religious  and  Cultural  Affairs","","",""
"","Programme  02  Development  Activities","194,960,000","94,800,000",""
"","Head
236
Department  of  Official  Languages","","",""
"","Programme  01  Operational  Activities","144,140,000","15,000,000",""
"5","Ministry  of  Public  Enterprise  &  Kandyan  Heritage  and  Kandy  Development","","",""
"","Recurrent
250,700,000","","",""
"","Capital
204,600,000","","",""
"","Made  up  as  follows:-","","","Appropriation"
"","Head  158
Minister  of  Public  Enterprise,  Kandyan  Heritage","","",""
"","and  Kandy  Development","","",""
"10","","","",""
"","Programme  01  Operational  Activities","250,700,000","204,600,000",""
"","Ministry  of  Tourism  Development,  Wildlife  and  Christian  Religious  Affairs","","",""
"","Recurrent
2,494,470,000","","",""
"","Capital
2,766,335,000","","",""
"15","Made  up  as  follows:-","","",""
"","Head
159
Minister  of  Tourism  Development,  Wildlife  and  Christian  Religious  Affairs","","",""
"","Programme  01
Operational  Activities","268,310,000","417,050,000",""
"","Programme  02
Development  Activities","—","483,000,000",""
