"","","","Recurrent","97,294,128,000","",""
"","","","Capital","86,551,230,000","",""
"","","Made  up  as  follows:-","","","",""
"5","Head","102","Minister    of  Finance  &  Mass  Media","","",""
"","","","Programme  01
Operational  Activities","","3,117,165,000","523,780,000"
"","","","Programme  02
Development  Activities","","479,000,000","2,390,700,000"
"","Head","210","Department  of  Information","","",""
"","","","Programme  01
Operational  Activities","","226,650,000","57,150,000"
"10","Head","238","Department  of  Fiscal  Policy","","",""
"","","","Programme  01
Operational  Activities","","1,754,770,000","2,650,000"
"","Heas","239","Department  of  External  Resources","","",""
"","","","Programme  01
Operational  Activities","","506,100,000","162,150,000"
"","Head","240","Department  of  National  Budget","","",""
"","","","Programme  01
Operational  Activities","","708,000,000","5,307,000,000"
"15","","","","","",""
"","","","Programme  02
Development  Activities","","40,253,533,000","40,000,000,000"
"","Head","241","Department  of  Public  Enterprises","","",""
"","","","Programme  01
Operational  Activities","","87,000,000","22,076,500,000"
"","Head","242","Department  of  Management  Services","","",""
"20","","","Programme  01
Operational  Activities","","88,830,000","7,300,000"
"","Head","243","Department  of  Development  Finance","","",""
"","","","Programme  01
Operational  Activities","","16,525,500,000","1,300,000"
"","","","Programme  02
Development  Activities","","—","11,388,100,000"
"","Head","244","Department  of  Trade  and  Investment  Policy","","",""
"","","","Programme  01
Operational  Activities","","51,800,000","800,000"
"25","","","","","",""
