"Column  I","Column  II","Column  III"
"(Activities)","(Amount  of  investment","(Period  of"
"","–  in  Rupees)","exemption)"
"Agriculture,  animal","Not  less  than  25","4  years"
"husbandry  or","million,  but  less  than",""
"fishing  (including","50  million",""
"processing),  creative","",""
"work  including  work","",""
"of  an  artist,","",""
"Information","",""
"Technology","",""
"Any  activity  referred","Not  less  than  50","4  years"
"to  in  paragraph  (a)  of","million,  but  less  than",""
"subsection  (2),  but","100  million",""
"not  including  services","",""
"relating  to  agriculture","",""
"(products  shall  be","Not  less  than","5  years"
"with  a  minimum  of","100  million  but  less",""
"35%  value  addition,","than  200  million",""
"if  more  than  50%  of","",""
"the  production  is  to","",""
"be  sold  in  the","Not  less  than  200","6  years”."
"domestic  market)","million",""
